text,label
"This is the fifth book in a series.  I first saw the video of Game of Thrones and was hooked so I bought the book which really cemented my interest in the Starks and the Lanisters.  I couldn't wait to read the next book which had many surprising twists that led me to the third book which I enjoyed but not as much as the preceding volumes.  I struggled with the fourth book but did finally finish it and I purchased the fifth book which was so slow and dull that I quit reading after 600 pages -- I might ultimately finish it but I'll wait and see.  I became entranced with Ned and Catelyn Stark and their Children Sansa, Robb, Bran, Arya, and Rickon.  Tyrion Lanister was easily the most interesting character I have encountered in a long time.  Cersei and Jaime Lanister were equally fascinating as was Brienne.  But Martin killed off Ned and Catelyn Stark and that was just the beginning.  By the time you get to Dances with Dragons Robb Stark is murdered, Arya has disappeared into some sort of religious order but her status is unresloved. Jon Snow has gone off fighting Zombies of all things and his story just gets duller and duller.  Bran seems to be headed into some sort of weird status as a ""changling"" or a tree -- undetermined.  Rickon Stark just vanishes from the story.  Tyrion's story just drags on and on with no resolution and his ultimate fate is not resolved.  Jaime seems on the cusp of redemption with Brienne but his story is left hanging and whether or not Brienne was killed is left open.  In short all of the characters who made the story interesting are either killed off or left hanging for what surely must be book 6.  To make matters worse books 4 and 5 could easily have been reduced to 300 pages each by simply dropping all of the tedious descriptions of clothes and food.  Plus more and more characters are introduced who lack any of the interest of the original characters.  I found myself skimming through whole pages of descriptions that did nothing for the story.  I started skipping all of Jon Snow's battle with the zombies as being simply too dumb to accept.  At that point I realized I was done and no longer cared about any of the characters.  A great start to a wonderful series but it deteriorates into a very poorly written soap opera about people I don't like and have  no interest  in.  It is a dull and tedious end to what could have been a great story.",0
"Not a page turns without a member of the British commando unit making a quip. The humor is so dense that even one of the characters remarks on it! And the military behavior of the British commando unit, specifically the behavior of the unit's leader, Major Smith, is so laughable that it boggles the mind. In one passage Major Smith (played by Richard Burton in the movie) remembers that he tied up a German radio operator in a room just above the room he has set on fire to cause a diversion. Well, even with Alpenkorps soldiers just yards away searching for the British, and the whole fate of the mission in great jeopardy, Major Smith, even to the consternation of Lieutenant Schaffer (played by Clint Eastwood in the movie), runs back up to the room where the tied up German radio operator is and unties him! It would seem that the World War II Alistair MacLean wants to impart to us was a kinder, gentler World War II where chivalry still ruled military conduct; IT DID NOT, ON EITHER SIDE OF THE CONFLICT!Another thing that annoyed me was the disrespectful way in which Lieutenant Schaffer refers to Major Smith, his superior, throughout the novel: 'boss'. However, the character of Lieutenant Schaffer can be excused for such insubordination since MacLean, unintentionally, gives us a character devoid of any intellectual rigor, to put it kindly. Particularly squeamish is Lieutenant Schaffer's imbecilic spur of the moment decision to marry and spend the rest of his life with a British agent he's just met in Germany!The screenplay for the movie, also written by Alistair MacLean, is by contrast a far superior product. MacLean excises from the movie all of the ludicrous quips and the equally ludicrous military blunders committed by the British commandos that are found in the novel.Avoid the novel at all costs! Watch the movie instead!",0
"I bought this book based on two 5 star customer reviews, and because at the time, it was 94th in books at amazon.ca. I've purchased many books on nutrition from amazon. This is the only one I sent back.Coming from a Canadian author, I was hoping to like this book, but after reading the small section entitled ""Milk and Calcium"", I lost a lot of respect for this man as a ""nutrition authority"".I think the author could have produced a better book, if he'd written in greater depth, on fewer subjects, the ones he was most knowledgeable on. Dairy foods are not one of these subjects, and his bias in their favor is painfully obvious.He portrays the anti-dairy segment of our society as being primarily animal rights and vegetarian organizations, and claims that independent researchers fall on the side of the dairy industry for milk's health benefits.Don't Drink Your Milk!: New Frightening Medical Facts About the World's Most Overrated Nutrient( While this book is dated, the number of medical doctors recommending against consuming dairy products has continued to grow.)He acknowledges that, ""Milk stands accused of contributing to heart disease, stroke, breast cancer, prostate cancer, ovarian cancer, diabetes, allergies, stomach cramps, diarrhea, autism, mucus production, and, get this, bone fractures!"" He fails to acknowledge the theory that's becoming more widely accepted within the nutritional science community for why cow's milk may not be a positive contributing factor for bone health. That the milk proteins can contribute to an acidosis of the blood, pulling calcium from the bones to maintain a stable pH level, and negatively impacting calcium balance in the body. He continues, ""But milk is also linked  with reducing heart disease, breast cancer, colorectal cancer, and of course, bone fracture"".""The anti-milk arguments often begin with the observation that no other species except humans drink milk after weaning.""( Again, he neglects to mention the rest of the story. That in Nature, no other species would ever consume the ""breast milk"" of another species, regardless of stage of life.) ""That's hardly a compelling argument. No other species designs airplanes, develops antibiotics, or bakes bread either.""He tries to refute the Nurse's Health Study by suggesting that the nurses who were drinking the most milk, were doing so not because they liked it, but because they knew they had a genetic predisposition and/or other risk factors for osteoporosis, and believed consuming more cow's milk would help them. So, to his way of thinking, drinking more milk was largely a reflection of an overall greater risk for developing osteoporosis in general, and therefore milk should not be singled out and blamed for the increased incidence of hip-fracture seen in the Nurse's Health Study, as the extra milk was possibly beneficial, but just not beneficial enough to overcome the other risks in this ""self-selected subgroup"". While the lead author of this study may lend some support for that hypothesis, her coauthor, Dr. Walter Willett, does not.In this short chapter the author refers to the heavy environmental contamination of dairy as a ""trace of dioxin"". He acknowledges that dairy fat is a problem, but suggests we eat low-fat dairy, and also limit saturated fat in our diets elsewhere.He doesn't get into the tumor-promoting properties of casein, the primary type of milk proteins. Likewise, he stays right away from the whole raw milk issue, or movement, and the destruction of nutrients through pasteurization. There's no discussion on grass-fed, as opposed to grain-fed cows, or any issues relating to factory farming. Although he does give brief mention to insulin-like growth factor.Most people who know anything about nutrition, know that 2% cow's milk actually contains over 30% of calories from fat. The dairy industry likes to mislead, or deceive the public, by measuring ""water"" weight, rather than counting calories.This author pulls a similar stunt with calcium. He boasts, ""A glass of milk contains about 300 milligrams of calcium, a cup of yogurt 400. By comparison, the best vegetable source is broccoli, with about 100 milligrams per cup.""Of course he's not only wrong about broccoli being the best vegetable source of calcium, ( bok choy and kale are both significantly higher ) but he doesn't bother to mention that a cup of broccoli contains only about a third the calories of a cup of milk, and, like other cruciferous vegetables, broccoli has a far superior nutrient-profile. He does recommend broccoli in a different part of the book.There is some comic relief with the author's explanation for why large segments of the world population are lactose intolerant. Apparently, the human species evolved hand in hoof with the dairy cow. But centuries ago, the tsetse fly spread sleeping sickness throughout much of Africa and Asia, decimating cattle populations. So, not having access to cow's milk, human populations, over time, lost much of their ""natural"" ability to make lactase, the enzyme responsible for lactose digestion.While some primitive populations did thrive on diets containing some cow's milk, it's important to make the distinction that what they consumed is a far cry from what is available to us at the grocery store. Derived largely from grain-fed cows, pumped up on growth hormone to increase milk production, and antibiotics to ward off sickness inherent to the animal's living conditions, much of the already compromised nutrition in the milk is destroyed through pasteurization. And dairy fat today, contains more dioxin, and more environmental contaminates in general, than any other food North Americans are likely to consume.The author claims that while ""milk may not be a miracle food, it can contribute significantly to a healthy diet. It assuredly is not poison, as suggested by the likes of PETA"".Webster's Dictionary defines poison as, ""a substance that through it's chemical action can injure or kill"".It's debatable whether cow's milk, as it's generally produced today, is actually poison, but it most assuredly is, as the Weston A. Price Foundation acknowledges, crap!While ""milk and calcium"" is admittedly a very very small portion of this book, in my eyes, the author has seriously undermined his credibility. Do I now trust or care what he says about fluoride added to tap water? No!Who do I trust?If you want to know what the medical literature says about diet and health, read Joel Fuhrman'sEat to Live: The Revolutionary Formula for Fast and Sustained Weight Loss",0
"In case you stumble upon this review amidst all of the other droning articles, I'll try to keep mine short.This was my first Hemingway, I finished it just recently, and man is he overrated.  There are moments of greatness within the pages, and as for the simple act of creating a story, placing characters and orchestrating a chain of events, the guy wasn't bad.Unfortunately his pretentious writing style bleeds through on nearly every single page, so absurdly that it disrupts from the actual story.  I loved the characters, I was intrigued by the plot, but halfway through I realized that I was FORCING myself to continue reading because the poor old bastard kept getting so far gone on his cheesy tangents of love, and of the minor backstories of characters found only within the backstories of supporting characters (Pilar's matador's tale that consumed four or five pages) that the story suffered greatly.Hemingway fancied himself a wordsmith I suppose, and therefore managed to crowbar the word ""now"" about fifty times into a single paragraph, often repeating the word up to four times in a row, and the truly funny part is that people regard him as a genius for it.So after experiencing Hemingway I can honestly say that I won't be going back, and I can only envy his success.",0
"Jean Plaidy was a very good author although she did tend to make up her ""facts"" as she went along - which makes it very hard to read if you are at all familiar with the what's, who's, and such.  This book is exceptionally tedious.  I found it very disappointing.",0
I did not get the part where it becomes boring right after a very interesting start. The characters were kinda lame and very feeble. This is very far from what I expected in his books.,0
let me just say this book was almost a complete waste of time and if the 6th book doesn't tidy up the story line I will not be reading anymore of his books,0
"I couldn't read Tom Clancy's Red October, or any of his other books. They were just too detailed on the different ships the Navy has, bombs, etc. However, Without Remorse is more character driven and less technical. It is a fast paced, good story. I really enjoyed this book.",0
"As I write this the Space Shuttle just launched after being delayed for a month with technical glitches - this in 2009. It's still a ""hold your breath"" event whenever that marvel of space technology takes to the sky. After two tragic crashes, no one can take for granted that the shuttle will go and return safely.Why then does the author think that in the year of 2026, a mere 17 years from now, we'll be capable of putting 100 people on space craft and deliver them safely to Mars! This is the first thing that struck me about this story - totally implausible. And that's before we get into the whole idea of making machines from sand, who then in turn can make other machines, who make other machines who then make every conceivable material thing a crew of 100 and then 1000's could possibly want in outer space. Never mind the dense planetary descriptions and technical psycho-babble the author uses to cover-up these wild leaps of faith. Oh, and did I mention they figured out how to stop aging, even turn the hands of time backward! That's right; these people are still screwing each other at 100 years old. Something I don't really want to think about frankly.Finally factor in the most boring characters and virtually no information of what motivates them - well, someone else said it well. This journey is a three book trilogy but I'm getting off here. The only saving grace for me is that I downloaded this to my new Kindle2 for a cost of $0.00 so all I lost was my time.",0
"Boring is far too nice a word for this misadventure by author Hill.  The plot is so convoluted, the development so slow, the logic so absent, that the publishers should issue a recall on this, collect all remaining volumes, and burn them.  Someof the Dalziel stories are quite catching, but this one, as another reviewer has said, can put you to sleep no matter how inflicted with insomnia you are.  Skip it.",0
"Leaving out half the story lines makes no sense, and seems like a bad marketing idea.  But nice enough if you want to keep up on half of the main players.",0
"This book was a philosophical touchstone for insecure Boomers of the mid-1970s. Everybody I knew in those days had to be able to discuss it intelligently or risk being thought to have a gap in our characters as people. A folk/ talking blues singer of that era (I forget who) referred to this book in a lyric:""...a copy of Kahlil Gibran's 'The Prophet' with all the significant passages highlighted--the whole damn BOOK was highlited...""In truth, the whole phenomenon was symptomatic of the societal immaturity of my generation as young adults. It taught us all sorts of theoretical concepts of human nature that were not necessarily reflective of the real world--consideration, the dignity of each person, peace, love, repudiation of prejudice--all of this in a world that anything but reflected such beliefs in Gibran's day. And except for the hippy-dippy pseudo-enlightenment we tried to cram down the world's throat in our day, our peculiar era was no better. We just used Gibran and other such philosophers to peer-pressure one another into self-defeating meekness. If someone you knew was erudite enough to understand philosophy but didn't have the moxie to stand up to people when he should, Gibran was the ideal way to make him a bona fide doormat and make him think he liked it. I won't even try to speculate how ""relevant"" Gibran is nowadays. From the perspective of a sadder but wiser man--or at least not quite as stupid--I give you this Sting lyric from the song ""Consider Me Gone"" for consideration:""To search for perfectionIs all very wellBut to wait for HeavenIs to live here in Hell""",0
"Pages and pages of meaningless details and dozens of characters who go nowhere, like book 4. What a shame, after the promise of books 1-3.",0
"I loved Martin's first three books, but I doubt I will read another in this series. He is no Tolkien.  I don't mind a 1,000 page book if it is interesting, has a good plot, and the characters are well-developed.  However, I feel that Martin thought he was being paid by the word!  This particular book is supposed to run parallel to book four.  He admits that book four was running too long and that he split it.  Well, he should have taken one of the swords from the book to it.  It gives you the feeling that he cut all the description or stuff he didn't like in book four and threw it into book 5 as an after thought.  He keeps killing off old characters and creating new ones, as well.  This makes the book seem disjointed.I wound up skimming a great deal and forcing myself to read through to the ending.  Only a few story lines were resolved in the book.  I am really disappointed.",0
I was really disappointed by this book. The only parts that were not too bad were the chapters where Jacob was an old man. But the circus stuff was very pedestrian. No spark to the writing. Don't waste your time.,0
"This book is a horrid combination of writing that is good enough to keep you reading and bad enough that you wish you weren't.  The book is 700+ pages.  The heroine is repeatedly raped (forceably and not) or otherwise abused by men who supposedly love her.  She repeatedly makes stupid choices, leaving the reader to wonder how ""smart"" she really is.  There are too many irrelevant characters.  The ending is completely unsatisfying, given how long I spent to slog through the book.  The author is not bad in terms of description, but the only real element of ""suspense"" will be figured out by a thinking reader by page 100 or so of the book and is not nearly enough to carry a reader happily through to page 700.  Avoid this book.",0
"Right out of the gate let me say that I hated, hated, hated book 4 (AFFC), but respected the author's work enough to give it three stars, plus, the fact that I hated it because of its left turn away from characters I cared about is telling - I still care, I guess. So while I guess I hate this one less because we've turned back again, it gets 2 stars, because honestly, while I still respect GRRM's way with words I am utterly disillusioned with his ability to control them in creating context any longer.Let's just cut to the chase, GRRM didn't ""have to"" create two books out of one, what he ""had to"" do was let his editing staff cut out the trenchers of filler and get back to the meat of a very, very good story.  Alas, words aren't just wind, they're also cold, hard cash.But GRRM expecting us to buy that these two books just ""had"" to be published separately is somewhat of an insult to the intelligence of his readership.",0
